field,count,year
BIOCHEMISTRY MOLECULAR BIOLOGY,1,2018
BIOPHYSICS,1,2018
CELL BIOLOGY,1,2018
FAMILY STUDIES,1,2018
FILM RADIO TELEVISION,1,2018
FISHERIES,1,2018
GASTROENTEROLOGY HEPATOLOGY,1,2018
GENETICS HEREDITY,1,2018
LIFE SCIENCES BIOMEDICINE OTHER TOPICS,1,2018
MARINE FRESHWATER BIOLOGY,1,2018
MECHANICS,1,2018
METEOROLOGY ATMOSPHERIC SCIENCES,1,2018
PHILOSOPHY,1,2018
RADIOLOGY NUCLEAR MEDICINE MEDICAL IMAGING,1,2018
SPORT SCIENCES,1,2018
THERMODYNAMICS,1,2018
URBAN STUDIES,1,2018
UROLOGY NEPHROLOGY,1,2018
WOMEN S STUDIES,1,2018
